country_code,country_long_name,currency_unit,income_group,region
AFG,Islamic-State-of-Afghanistan,Afghan-afghani,Low-income,South-Asia
AGO,Peoples-Republic-of-Angola,Angolan-kwanza,Lower-middle-income,Sub-Saharan-Africa
ALB,Republic-of-Albania,Albanian-lek,Upper-middle-income,Europe-&-Central-Asia
ARG,Argentine-Republic,Argentine-peso,Upper-middle-income,Latin-America-&-Caribbean
ARM,Republic-of-Armenia,Armenian-dram,Lower-middle-income,Europe-&-Central-Asia
AZE,Republic-of-Azerbaijan,New-Azeri-manat,Upper-middle-income,Europe-&-Central-Asia
BDI,Republic-of-Burundi,Burundi-franc,Low-income,Sub-Saharan-Africa
BEN,Republic-of-Benin,West-African-CFA-franc,Low-income,Sub-Saharan-Africa
BFA,Burkina-Faso,West-African-CFA-franc,Low-income,Sub-Saharan-Africa
BGD,Peoples-Republic-of-Bangladesh,Bangladeshi-taka,Lower-middle-income,South-Asia
BGR,Republic-of-Bulgaria,Bulgarian-lev,Upper-middle-income,Europe-&-Central-Asia
BIH,Bosnia-and-Herzegovina,Bosnia-and-Herzegovina-convertible-mark,Upper-middle-income,Europe-&-Central-Asia
BLR,Republic-of-Belarus,Belarusian-rubel,Upper-middle-income,Europe-&-Central-Asia
BLZ,Belize,Belize-dollar,Upper-middle-income,Latin-America-&-Caribbean
BOL,Plurinational-State-of-Bolivia,Bolivian-Boliviano,Lower-middle-income,Latin-America-&-Caribbean
BRA,Federative-Republic-of-Brazil,Brazilian-real,Upper-middle-income,Latin-America-&-Caribbean
BTN,Kingdom-of-Bhutan,Bhutanese-ngultrum,Lower-middle-income,South-Asia
BWA,Republic-of-Botswana,Botswana-pula,Upper-middle-income,Sub-Saharan-Africa
CAF,Central-African-Republic,Central-African-CFA-franc,Low-income,Sub-Saharan-Africa
CHN,Peoples-Republic-of-China,Chinese-yuan,Upper-middle-income,East-Asia-&-Pacific
CIV,Republic-of-Cote-dIvoire,West-African-CFA-franc,Lower-middle-income,Sub-Saharan-Africa
CMR,Republic-of-Cameroon,Central-African-CFA-franc,Lower-middle-income,Sub-Saharan-Africa
COD,Democratic-Republic-of-the-Congo,Congolese-franc,Low-income,Sub-Saharan-Africa
COG,Republic-of-Congo,Central-African-CFA-franc,Lower-middle-income,Sub-Saharan-Africa
COL,Republic-of-Colombia,Colombian-peso,Upper-middle-income,Latin-America-&-Caribbean
COM,Union-of-the-Comoros,Comorian-franc,Low-income,Sub-Saharan-Africa
CPV,Republic-of-Cabo-Verde,Cabo-Verde-escudo,Lower-middle-income,Sub-Saharan-Africa
CRI,Republic-of-Costa-Rica,Costa-Rican-colon,Upper-middle-income,Latin-America-&-Caribbean
DJI,Republic-of-Djibouti,Djibouti-franc,Lower-middle-income,Middle-East-&-North-Africa
DMA,Commonwealth-of-Dominica,East-Caribbean-dollar,Upper-middle-income,Latin-America-&-Caribbean
DOM,Dominican-Republic,Dominican-peso,Upper-middle-income,Latin-America-&-Caribbean
DZA,Peoples-Democratic-Republic-of-Algeria,Algerian-dinar,Upper-middle-income,Middle-East-&-North-Africa
EAP,East-Asia-&-Pacific-(excluding-high-income),Unknown,Unknown,Unknown
ECA,Europe-&-Central-Asia-(excluding-high-income),Unknown,Unknown,Unknown
ECU,Republic-of-Ecuador,U.S.-dollar,Upper-middle-income,Latin-America-&-Caribbean
EGY,Arab-Republic-of-Egypt,Egyptian-pound,Lower-middle-income,Middle-East-&-North-Africa
ERI,State-of-Eritrea,Eritrean-nakfa,Low-income,Sub-Saharan-Africa
ETH,Federal-Democratic-Republic-of-Ethiopia,Ethiopian-birr,Low-income,Sub-Saharan-Africa
FJI,Republic-of-Fiji,Fijian-dollar,Upper-middle-income,East-Asia-&-Pacific
GAB,Gabonese-Republic,Central-African-CFA-franc,Upper-middle-income,Sub-Saharan-Africa
GEO,Georgia,Georgian-lari,Lower-middle-income,Europe-&-Central-Asia
GHA,Republic-of-Ghana,New-Ghanaian-cedi,Lower-middle-income,Sub-Saharan-Africa
GIN,Republic-of-Guinea,Guinean-franc,Low-income,Sub-Saharan-Africa
GMB,Republic-of-The-Gambia,Gambian-dalasi,Low-income,Sub-Saharan-Africa
GNB,Republic-of-Guinea-Bissau,West-African-CFA-franc,Low-income,Sub-Saharan-Africa
GRD,Grenada,East-Caribbean-dollar,Upper-middle-income,Latin-America-&-Caribbean
GTM,Republic-of-Guatemala,Guatemalan-quetzal,Lower-middle-income,Latin-America-&-Caribbean
GUY,Co-operative-Republic-of-Guyana,Guyana-dollar,Upper-middle-income,Latin-America-&-Caribbean
HND,Republic-of-Honduras,Honduran-lempira,Lower-middle-income,Latin-America-&-Caribbean
HTI,Republic-of-Haiti,Haitian-gourde,Low-income,Latin-America-&-Caribbean
IDN,Republic-of-Indonesia,Indonesian-rupiah,Lower-middle-income,East-Asia-&-Pacific
IDX,IDA-only,Unknown,Unknown,Unknown
IND,Republic-of-India,Indian-rupee,Lower-middle-income,South-Asia
IRN,Islamic-Republic-of-Iran,Iranian-rial,Upper-middle-income,Middle-East-&-North-Africa
JAM,Jamaica,Jamaican-dollar,Upper-middle-income,Latin-America-&-Caribbean
JOR,Hashemite-Kingdom-of-Jordan,Jordanian-dinar,Lower-middle-income,Middle-East-&-North-Africa
KAZ,Republic-of-Kazakhstan,Kazakh-tenge,Upper-middle-income,Europe-&-Central-Asia
KEN,Republic-of-Kenya,Kenyan-shilling,Lower-middle-income,Sub-Saharan-Africa
KGZ,Kyrgyz-Republic,Kyrgyz-som,Lower-middle-income,Europe-&-Central-Asia
KHM,Kingdom-of-Cambodia,Cambodian-riel,Lower-middle-income,East-Asia-&-Pacific
