Country_Code,Indicator_Code,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
EAP,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1340.7,-1.0,-1.0,1403.3,-1.0,-1.0,1465.6,-1.0,-1.0,1525.4,-1.0,-1.0,1557.7,-1.0,-1.0,1550.2,-1.0,-1.0,1562.2,-1.0,-1.0,1476.0,-1.0,-1.0,1357.5,-1.0,-1.0,1230.2,-1.0,1101.8,1036.0,969.7,853.0,-1.0,-1.0,-1.0,-1.0
ECA,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.9,-1.0,-1.0,117.3,-1.0,-1.0,168.5,-1.0,-1.0,194.1,-1.0,-1.0,209.7,-1.0,-1.0,161.8,-1.0,-1.0,124.5,-1.0,-1.0,81.0,-1.0,78.1,73.7,72.0,67.8,-1.0,-1.0,-1.0,-1.0
LAC,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,166.5,-1.0,-1.0,195.4,-1.0,-1.0,188.8,-1.0,-1.0,213.6,-1.0,-1.0,221.9,-1.0,-1.0,234.5,-1.0,-1.0,239.3,-1.0,-1.0,239.6,-1.0,-1.0,225.7,-1.0,-1.0,191.3,-1.0,182.0,175.7,167.2,165.8,-1.0,-1.0,-1.0,-1.0
LMY,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2967.6,-1.0,-1.0,3143.1,-1.0,-1.0,3307.9,-1.0,-1.0,3512.5,-1.0,-1.0,3729.5,-1.0,-1.0,3855.1,-1.0,-1.0,4009.7,-1.0,-1.0,3990.5,-1.0,-1.0,3911.4,-1.0,-1.0,3799.8,-1.0,3712.2,3639.3,3573.8,3457.9,-1.0,-1.0,-1.0,-1.0
LIC,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,237.7,-1.0,-1.0,257.2,-1.0,-1.0,277.7,-1.0,-1.0,304.8,-1.0,-1.0,335.3,-1.0,-1.0,361.8,-1.0,-1.0,392.2,-1.0,-1.0,425.3,-1.0,-1.0,460.1,-1.0,-1.0,495.3,-1.0,518.6,530.0,535.3,546.1,-1.0,-1.0,-1.0,-1.0
LMC,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1411.7,-1.0,-1.0,1510.4,-1.0,-1.0,1612.0,-1.0,-1.0,1713.0,-1.0,-1.0,1847.8,-1.0,-1.0,1939.5,-1.0,-1.0,2050.2,-1.0,-1.0,2128.3,-1.0,-1.0,2177.5,-1.0,-1.0,2225.3,-1.0,2220.9,2207.2,2207.7,2195.2,-1.0,-1.0,-1.0,-1.0
MNA,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,123.8,-1.0,-1.0,136.9,-1.0,-1.0,135.8,-1.0,-1.0,146.7,-1.0,-1.0,156.3,-1.0,-1.0,151.5,-1.0,-1.0,150.8,-1.0,-1.0,152.9,-1.0,-1.0,152.2,-1.0,148.3,149.3,151.8,152.8,-1.0,-1.0,-1.0,-1.0
MIC,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SAS,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,887.6,-1.0,-1.0,948.9,-1.0,-1.0,1008.8,-1.0,-1.0,1074.1,-1.0,-1.0,1148.4,-1.0,-1.0,1206.9,-1.0,-1.0,-1.0,-1.0,-1.0,1334.3,-1.0,-1.0,1377.1,-1.0,-1.0,1423.1,-1.0,1444.5,1431.9,1428.4,1418.4,-1.0,-1.0,-1.0,-1.0
SSA,SI.POV.UMIC.NO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,455.9,-1.0,-1.0,503.9,-1.0,-1.0,545.3,-1.0,-1.0,592.5,-1.0,-1.0,643.1,-1.0,-1.0,688.4,-1.0,-1.0,731.2,-1.0,766.7,781.9,792.3,807.1,-1.0,-1.0,-1.0,-1.0
